#  0.0000000e+00   9.0000000e-01   9.1000000e-01   9.2000000e-01   9.3000000e-01   9.4000000e-01   9.5000000e-01   9.6000000e-01   9.7000000e-01   9.8000000e-01   9.9000000e-01   1.0000000e+00   1.0100000e+00   1.0200000e+00   1.0300000e+00   1.0400000e+00   1.0500000e+00   1.0600000e+00   1.0700000e+00   1.0800000e+00   1.0900000e+00   1.1000000e+00
   2.0000000e+00   1.8457480e+05   1.4947404e+05   1.1816374e+05   9.0608120e+04   6.6780553e+04   4.6638796e+04   3.0149585e+04   1.7278475e+04   7.9912162e+03   2.2538320e+03   3.2454074e+01   1.2935177e+03   6.0037133e+03   1.4129719e+04   2.5638882e+04   4.0499068e+04   5.8676241e+04   8.0138337e+04   1.0485589e+05   1.3279515e+05   1.6392863e+05
   2.1818182e+00   1.3901721e+05   1.1252025e+05   8.8908484e+04   6.8149378e+04   5.0211295e+04   3.5063321e+04   2.2671276e+04   1.3003311e+04   6.0276331e+03   1.7128433e+03   2.7864704e+01   9.4176854e+02   4.4238570e+03   1.0443713e+04   1.8971195e+04   2.9976530e+04   4.3430264e+04   5.9302729e+04   7.7564984e+04   9.8188264e+04   1.2114431e+05
   2.3636364e+00   1.0183672e+05   8.2357265e+04   6.5022393e+04   4.9800149e+04   3.6664135e+04   2.5583781e+04   1.6530559e+04   9.4756444e+03   4.3910560e+03   1.2487118e+03   2.0921574e+01   6.8035868e+02   3.1999502e+03   7.5528947e+03   1.3712658e+04   2.1653051e+04   3.1348025e+04   4.2771964e+04   5.5900004e+04   7.0705053e+04   8.7165248e+04
   2.5454545e+00   7.2338000e+04   5.8434985e+04   4.6080335e+04   3.5249893e+04   2.5918113e+04   1.8060423e+04   1.1650968e+04   6.6656862e+03   3.0802676e+03   8.7088037e+02   1.3835655e+01   4.8579437e+02   2.2637153e+03   5.3248361e+03   9.6466628e+03   1.5207027e+04   2.1983776e+04   2.9955440e+04   3.9100591e+04   4.9396579e+04   6.0826697e+04
   2.7272727e+00   4.9725108e+04   4.0107440e+04   3.1578350e+04   2.4115854e+04   1.7698995e+04   1.2306958e+04   7.9191393e+03   4.5151617e+03   2.0750334e+03   5.7909618e+02   7.9019935e+00   3.4230353e+02   1.5634403e+03   3.6526596e+03   6.5918652e+03   1.0362754e+04   1.4947669e+04   2.0328264e+04   2.6489199e+04   3.3412060e+04   4.1078554e+04
   2.9090909e+00   3.3084886e+04   2.6636646e+04   2.0930825e+04   1.5950052e+04   1.1677724e+04   8.0978417e+03   5.1911246e+03   2.9446801e+03   1.3415819e+03   3.6634086e+02   3.6672711e+00   2.3857219e+02   1.0563216e+03   2.4424269e+03   4.3825697e+03   6.8628490e+03   9.8694633e+03   1.3388826e+04   1.7407667e+04   2.1912830e+04   2.6891217e+04
   3.0909091e+00   2.1425364e+04   1.7213589e+04   1.3495475e+04   1.0257897e+04   7.4880341e+03   5.1732363e+03   3.3011273e+03   1.8596227e+03   8.3683103e+02   2.2115005e+02   1.1614095e+00   1.6569130e+02   7.0379010e+02   1.6047224e+03   2.8580538e+03   4.4533060e+03   6.3805225e+03   8.6298906e+03   1.1191729e+04   1.4056375e+04   1.7214811e+04
   3.2727273e+00   1.3718162e+04   1.0998935e+04   8.6037408e+03   6.5227583e+03   4.7465526e+03   3.2663695e+03   2.0730921e+03   1.1581468e+03   5.1312324e+02   1.2978729e+02   1.0912666e-01   1.1623852e+02   4.7050875e+02   1.0554371e+03   1.8637821e+03   2.8884205e+03   4.1223742e+03   5.5588782e+03   7.1914231e+03   9.0134570e+03   1.1018813e+04
   3.4545455e+00   8.9751078e+03   7.1874314e+03   5.6141381e+03   4.2486697e+03   3.0847221e+03   2.1161189e+03   1.3368470e+03   7.4119394e+02   3.2347531e+02   7.8218220e+01   9.5487657e-02   8.3931885e+01   3.2469420e+02   7.1750442e+02   1.2576353e+03   1.9404941e+03   2.7615933e+03   3.7166374e+03   4.8013694e+03   6.0118072e+03   7.3439365e+03
   3.6363636e+00   6.3061435e+03   5.0531081e+03   3.9488975e+03   2.9894529e+03   2.1705004e+03   1.4884341e+03   9.3932704e+02   5.1949692e+02   2.2539031e+02   5.3558876e+01   6.8626676e-01   6.3560672e+01   2.3908400e+02   5.2426049e+02   9.1618532e+02   1.4120770e+03   2.0092140e+03   2.7049893e+03   3.4969764e+03   4.3826592e+03   5.3597971e+03
   3.8181818e+00   4.9662611e+03   3.9893188e+03   3.1256622e+03   2.3728803e+03   1.7279690e+03   1.1889445e+03   7.5333117e+02   4.1890422e+02   1.8349881e+02   4.5034586e+01   1.5044659e+00   5.0977660e+01   1.9159346e+02   4.2158066e+02   7.3920431e+02   1.1428219e+03   1.6308391e+03   2.2017178e+03   2.8539844e+03   3.5862264e+03   4.3970793e+03
   4.0000000e+00   4.3762776e+03   3.5262549e+03   2.7720680e+03   2.1120533e+03   1.5446011e+03   1.0682013e+03   6.8137385e+02   3.8269828e+02   1.7083430e+02   4.4449349e+01   2.2704355e+00   4.3070414e+01   1.6566563e+02   3.6891060e+02   6.5170342e+02   1.0129756e+03   1.4516970e+03   1.9668684e+03   2.5575071e+03   3.2227212e+03   3.9615777e+03
   4.1818182e+00   4.1256457e+03   3.3314936e+03   2.6252839e+03   2.0057141e+03   1.4716666e+03   1.0220388e+03   6.5573441e+02   3.7168237e+02   1.6884722e+02   4.6218163e+01   2.8133593e+00   3.7671029e+01   1.4984941e+02   3.3843592e+02   6.0252860e+02   9.4125703e+02   1.3536865e+03   1.8391204e+03   2.3965843e+03   3.0253107e+03   3.7244715e+03
