  0.0000000e+000 -3.9032301e+000  1.2000002e+001
  7.1404862e-003 -3.9082408e+000  1.1984566e+001
  1.4280972e-002 -3.9132516e+000  1.1969129e+001
  2.1421459e-002 -3.9182628e+000  1.1953692e+001
  2.8561945e-002 -3.9232743e+000  1.1938253e+001
  3.5702431e-002 -3.9282865e+000  1.1922812e+001
  4.2842917e-002 -3.9332993e+000  1.1907369e+001
  4.9983404e-002 -3.9383130e+000  1.1891924e+001
  5.7123890e-002 -3.9433277e+000  1.1876475e+001
  6.8490654e-002 -3.9513129e+000  1.1851875e+001
  7.9857417e-002 -3.9593015e+000  1.1827265e+001
  9.1224181e-002 -3.9672941e+000  1.1802643e+001
  1.0259095e-001 -3.9752913e+000  1.1778006e+001
  1.1395737e-001 -3.9834273e+000  1.1753350e+001
  1.2532379e-001 -3.9916381e+000  1.1728674e+001
  1.3669021e-001 -3.9998553e+000  1.1703978e+001
  1.4805663e-001 -4.0080795e+000  1.1679261e+001
  1.5942474e-001 -4.0163126e+000  1.1654518e+001
  1.7079285e-001 -4.0245539e+000  1.1629750e+001
  1.8216097e-001 -4.0328040e+000  1.1604955e+001
  1.9352908e-001 -4.0410636e+000  1.1580133e+001
  2.0490102e-001 -4.0493358e+000  1.1555272e+001
  2.1627296e-001 -4.0576911e+000  1.1530374e+001
  2.2764490e-001 -4.0661896e+000  1.1505435e+001
  2.3901684e-001 -4.0747001e+000  1.1480460e+001
  2.5039462e-001 -4.0832275e+000  1.1455436e+001
  2.6177240e-001 -4.0917682e+000  1.1430373e+001
  2.7315018e-001 -4.1003227e+000  1.1405269e+001
  2.8452796e-001 -4.1088916e+000  1.1380123e+001
  2.9591387e-001 -4.1174816e+000  1.1354915e+001
  3.0729978e-001 -4.1260873e+000  1.1329661e+001
  3.1868568e-001 -4.1347443e+000  1.1304356e+001
  3.3007159e-001 -4.1435903e+000  1.1278986e+001
  3.4215409e-001 -4.1529970e+000  1.1252007e+001
  3.5423660e-001 -4.1624245e+000  1.1224969e+001
  3.6631910e-001 -4.1718735e+000  1.1197870e+001
  3.7840161e-001 -4.1813446e+000  1.1170706e+001
  3.9152725e-001 -4.1916595e+000  1.1141123e+001
  4.0465289e-001 -4.2020023e+000  1.1111460e+001
  4.1777853e-001 -4.2123740e+000  1.1081714e+001
  4.3090418e-001 -4.2229880e+000  1.1051855e+001
  4.4510908e-001 -4.2345434e+000  1.1019438e+001
  4.5931399e-001 -4.2461367e+000  1.0986914e+001
  4.7351889e-001 -4.2577693e+000  1.0954280e+001
  4.8772380e-001 -4.2694421e+000  1.0921534e+001
  5.0304366e-001 -4.2820778e+000  1.0886086e+001
  5.1836351e-001 -4.2947631e+000  1.0850499e+001
  5.3368337e-001 -4.3077612e+000  1.0814727e+001
  5.4900323e-001 -4.3208416e+000  1.0778802e+001
  5.6547728e-001 -4.3349693e+000  1.0740002e+001
