  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000
  7.1404862e-003  1.5972100e+001  1.3594104e-004  5.7023903e-002
  1.4280972e-002  3.1944652e+001  1.0876114e-003  2.2809432e-001
  2.1421459e-002  4.7918109e+001  3.6707244e-003  5.1320737e-001
  2.8561945e-002  6.3892924e+001  8.7009168e-003  9.1235660e-001
  3.5702431e-002  7.9869548e+001  1.6993758e-002  1.4255330e+000
  4.2842917e-002  9.5848434e+001  2.9364792e-002  2.0527248e+000
  4.9983404e-002  1.1183003e+002  4.6629448e-002  2.7939180e+000
  5.7123890e-002  1.2781480e+002  6.9603003e-002  3.6490956e+000
  6.8490654e-002  1.5326820e+002  1.1996455e-001  5.2455297e+000
  7.9857417e-002  1.7873260e+002  1.9014597e-001  7.1306666e+000
  9.1224181e-002  2.0420981e+002  2.8343367e-001  9.3043979e+000
  1.0259095e-001  2.2970166e+002  4.0311237e-001  1.1766599e+001
  1.1395737e-001  2.5520920e+002  5.5246016e-001  1.4517041e+001
  1.2532379e-001  2.8073502e+002  7.3476186e-001  1.7555636e+001
  1.3669021e-001  3.0628094e+002  9.5329695e-001  2.0882210e+001
  1.4805663e-001  3.3184877e+002  1.2113425e+000  2.4496571e+001
  1.5942474e-001  3.5744414e+002  1.5122211e+000  2.8399113e+001
  1.7079285e-001  3.8306506e+002  1.8591718e+000  3.2589097e+001
  1.8216097e-001  4.0871336e+002  2.2554657e+000  3.7066281e+001
  1.9352908e-001  4.3439083e+002  2.7043710e+000  4.1830409e+001
  2.0490102e-001  4.6010797e+002  3.2093324e+000  4.6882957e+001
  2.1627296e-001  4.8585793e+002  3.7734734e+000  5.2222077e+001
  2.2764490e-001  5.1164253e+002  4.4000559e+000  5.7847463e+001
  2.3901684e-001  5.3746357e+002  5.0923378e+000  6.3758792e+001
  2.5039462e-001  5.6333614e+002  5.8539823e+000  6.9958978e+001
  2.6177240e-001  5.8924882e+002  6.6879068e+000  7.6444704e+001
  2.7315018e-001  6.1520339e+002  7.5973625e+000  8.3215596e+001
  2.8452796e-001  6.4120165e+002  8.5855958e+000  9.0271265e+001
  2.9591387e-001  6.6726404e+002  9.6566432e+000  9.7616648e+001
  3.0729978e-001  6.9337378e+002  1.0813072e+001  1.0524638e+002
  3.1868568e-001  7.1953269e+002  1.2058121e+001  1.1316004e+002
  3.3007159e-001  7.4574255e+002  1.3395025e+001  1.2135715e+002
  3.4215409e-001  7.7361368e+002  1.4917781e+001  1.3036524e+002
  3.5423660e-001  8.0154634e+002  1.6551463e+001  1.3969141e+002
  3.6631910e-001  8.2954267e+002  1.8299914e+001  1.4933507e+002
  3.7840161e-001  8.5760479e+002  2.0166972e+001  1.5929559e+002
  3.9152725e-001  8.8816669e+002  2.2334093e+001  1.7047435e+002
  4.0465289e-001  9.1881145e+002  2.4650600e+001  1.8202543e+002
  4.1777853e-001  9.4954181e+002  2.7121382e+001  1.9394793e+002
  4.3090418e-001  9.8036045e+002  2.9751311e+001  2.0624095e+002
  4.4510908e-001  1.0138158e+003  3.2782430e+001  2.1996114e+002
  4.5931399e-001  1.0473811e+003  3.6011786e+001  2.3411295e+002
  4.7351889e-001  1.0810598e+003  3.9445508e+001  2.4869510e+002
  4.8772380e-001  1.1148552e+003  4.3089704e+001  2.6370629e+002
  5.0304366e-001  1.1514381e+003  4.7262844e+001  2.8037505e+002
  5.1836351e-001  1.1881649e+003  5.1695496e+001  2.9753954e+002
  5.3368337e-001  1.2250399e+003  5.6395247e+001  3.1519796e+002
  5.4900323e-001  1.2620673e+003  6.1369657e+001  3.3334848e+002
  5.6547728e-001  1.3020592e+003  6.7033925e+001  3.5341338e+002
  5.8195132e-001  1.3422373e+003  7.3033830e+001  3.7404272e+002
  5.9842537e-001  1.3826067e+003  7.9378659e+001  3.9523399e+002
  6.1489942e-001  1.4231727e+003  8.6077652e+001  4.1698464e+002
  6.3256845e-001  1.4669054e+003  9.3666671e+001  4.4093176e+002
  6.5023747e-001  1.5108763e+003  1.0168498e+002  4.6551601e+002
  6.6790650e-001  1.5550917e+003  1.1014380e+002  4.9073398e+002
  6.8557552e-001  1.5995577e+003  1.1905432e+002  5.1658218e+002
  7.0448336e-001  1.6474259e+003  1.2910248e+002  5.4493665e+002
  7.2339120e-001  1.6955957e+003  1.3969414e+002  5.7400420e+002
  7.4229904e-001  1.7440745e+003  1.5084275e+002  6.0378022e+002
  7.6120688e-001  1.7928699e+003  1.6256167e+002  6.3425997e+002
  7.8140089e-001  1.8453422e+003  1.7572254e+002  6.6758473e+002
  8.0159489e-001  1.8981929e+003  1.8956511e+002  7.0170065e+002
  8.2178889e-001  1.9514307e+003  2.0410531e+002  7.3660156e+002
  8.4198289e-001  2.0050644e+003  2.1935893e+002  7.7228112e+002
  8.6351782e-001  2.0627056e+003  2.3642910e+002  8.1118053e+002
  8.8505274e-001  2.1208173e+003  2.5434720e+002  8.5095006e+002
