500	0	1
286	0	1
57	0	1
146	0	1
10	0	1
1319	0	1
91	0	1
150	0	1
406	0	1
73	1	2
579	1	2
1649	1	2
448	1	2
1429	0	3
58	0	3
243	0	3
1045	0	3
67	1	4
108	1	4
905	1	4
584	1	4
937	1	5
1412	1	5
399	0	6
388	0	6
539	0	6
564	0	6
301	0	6
806	0	6
297	0	7
798	0	7
31	0	7
150	0	7
744	0	7
31	0	7
64	0	7
293	0	7
20	0	7
97	0	7
203	0	7
1223	1	8
173	1	8
361	1	8
624	1	9
104	1	9
992	1	9
1350	1	10
1250	1	10
661	0	11
1903	0	11
806	0	11
50	0	12
831	0	12
96	0	12
237	0	12
539	0	12
643	0	12
166	0	12
190	0	13
222	0	13
908	0	13
204	0	13
453	0	13
812	0	13
166	0	13
125	0	13
415	1	14
1385	1	14
212	1	15
835	1	15
399	1	15
733	1	16
537	1	16
301	1	16
344	1	17
2152	1	17
763	0	18
586	0	18
102	0	18
88	0	18
17	0	18
88	0	18
66	0	18
271	0	19
345	0	19
377	0	19
611	0	19
112	0	19
52	0	19
872	0	19
737	1	20
351	1	20
759	1	20
1130	1	21
1661	1	21
330	1	21
307	0	22
310	0	22
819	0	22
125	0	22
150	0	22
30	0	22
50	0	22
758	0	22
94	0	23
252	0	23
31	0	23
82	0	23
236	0	23
89	0	23
68	0	23
371	0	23
371	0	23
230	0	23
30	0	23
133	0	23
35	0	23
78	0	23
57	0	23
105	1	24
73	1	24
167	1	24
398	1	25
82	1	25
493	1	25
214	0	26
263	0	26
136	0	26
129	0	26
183	0	26
64	0	26
77	0	26
263	0	26
193	0	26
393	0	26
305	0	26
138	0	26
