# From calculatestuff.m
#  DC trapping (mm)   DC+RF trapping pos (mm)
   0.0000000e+00  -7.6245180e-07
   1.0666667e-05   9.9061016e-06
   2.1333333e-05   2.0570681e-05
   3.2000000e-05   3.1238815e-05
   4.2666667e-05   4.1912980e-05
   5.3333333e-05   5.2588451e-05
   6.4000000e-05   6.3271327e-05
   7.4666667e-05   7.3960195e-05
   8.5333333e-05   8.4655276e-05
   9.6000000e-05   9.5354613e-05
   1.0666667e-04   1.0605942e-04
   1.1733333e-04   1.1678425e-04
   1.2800000e-04   1.2750073e-04
   1.3866667e-04   1.3823184e-04
   1.4933333e-04   1.4896677e-04
   1.6000000e-04   1.5970242e-04
   1.7066667e-04   1.7044287e-04
   1.8133333e-04   1.8116593e-04
   1.9200000e-04   1.9189327e-04
   2.0266667e-04   2.0261981e-04
   2.1333333e-04   2.1333309e-04
   2.2400000e-04   2.2404050e-04
   2.3466667e-04   2.3474918e-04
   2.4533333e-04   2.4544704e-04
   2.5600000e-04   2.5615954e-04
   2.6666667e-04   2.6686603e-04
   2.7733333e-04   2.7757543e-04
   2.8800000e-04   2.8827669e-04
   2.9866667e-04   2.9897488e-04
   3.0933333e-04   3.0967523e-04
   3.2000000e-04   3.2036722e-04
   3.3066667e-04   3.3105341e-04
   3.4133333e-04   3.4173166e-04
   3.5200000e-04   3.5241674e-04
   3.6266667e-04   3.6308972e-04
   3.7333333e-04   3.7375008e-04
   3.8400000e-04   3.8440233e-04
   3.9466667e-04   3.9504018e-04
   4.0533333e-04   4.0564922e-04
   4.1600000e-04   4.1625626e-04
   4.2666667e-04   4.2685497e-04
   4.3733333e-04   4.3742691e-04
   4.4800000e-04   4.4796724e-04
   4.5866667e-04   4.5849501e-04
   4.6933333e-04   4.6901140e-04
   4.8000000e-04   4.7946364e-04
   4.9066667e-04   4.8991339e-04
   5.0133333e-04   5.0034099e-04
   5.1200000e-04   5.1072285e-04
   5.2266667e-04   5.2111611e-04
   5.3333333e-04   5.3148542e-04
   5.4400000e-04   5.4185092e-04
   5.5466667e-04   5.5207445e-04
   5.6533333e-04   5.6230184e-04
   5.7600000e-04   5.7254354e-04
   5.8666667e-04   5.8263228e-04
   5.9733333e-04   5.9267229e-04
   6.0800000e-04   6.0268795e-04
   6.1866667e-04   6.1268723e-04
   6.2933333e-04   6.2261634e-04
   6.4000000e-04   6.3256119e-04
   6.5066667e-04   6.4251654e-04
   6.6133333e-04   6.5244481e-04
   6.7200000e-04   6.6239327e-04
   6.8266667e-04   6.7240839e-04
   6.9333333e-04   6.8244450e-04
   7.0400000e-04   6.9255698e-04
   7.1466667e-04   7.0273021e-04
   7.2533333e-04   7.1287066e-04
   7.3600000e-04   7.2316499e-04
   7.4666667e-04   7.3340896e-04
   7.5733333e-04   7.4366637e-04
   7.6800000e-04   7.5389801e-04
   7.7866667e-04   7.6411666e-04
   7.8933333e-04   7.7447426e-04
   8.0000000e-04   7.8486471e-04
   8.1066667e-04   7.9521546e-04
   8.2133333e-04   8.0569923e-04
   8.3200000e-04   8.1634700e-04
   8.4266667e-04   8.2689193e-04
   8.5333333e-04   8.3763885e-04
   8.6400000e-04   8.4841487e-04
   8.7466667e-04   8.5931012e-04
   8.8533333e-04   8.7024615e-04
   8.9600000e-04   8.8116870e-04
   9.0666667e-04   8.9215016e-04
   9.1733333e-04   9.0301961e-04
   9.2800000e-04   9.1389657e-04
   9.3866667e-04   9.2463018e-04
   9.4933333e-04   9.3538236e-04
   9.6000000e-04   9.4607483e-04
   9.7066667e-04   9.5658192e-04
   9.8133333e-04   9.6700820e-04
   9.9200000e-04   9.7747103e-04
   1.0026667e-03   9.8796762e-04
   1.0133333e-03   9.9849296e-04
   1.0240000e-03   1.0090304e-03
   1.0346667e-03   1.0195480e-03
   1.0453333e-03   1.0300404e-03
   1.0560000e-03   1.0404138e-03
   1.0666667e-03   1.0506712e-03
   1.0773333e-03   1.0608449e-03
   1.0880000e-03   1.0708848e-03
   1.0986667e-03   1.0808352e-03
   1.1093333e-03   1.0907139e-03
   1.1200000e-03   1.1003034e-03
   1.1306667e-03   1.1095413e-03
   1.1413333e-03   1.1184479e-03
   1.1520000e-03   1.1268721e-03
   1.1626667e-03   1.1349349e-03
   1.1733333e-03   1.1430215e-03
   1.1840000e-03   1.1506048e-03
   1.1946667e-03   1.1579140e-03
   1.2053333e-03   1.1649204e-03
   1.2160000e-03   1.1716187e-03
   1.2266667e-03   1.1783510e-03
   1.2373333e-03   1.1846787e-03
   1.2480000e-03   1.1907870e-03
   1.2586667e-03   1.1968983e-03
   1.2693333e-03   1.2028640e-03
   1.2800000e-03   1.2089671e-03
   1.2906667e-03   1.2148230e-03
   1.3013333e-03   1.2200357e-03
   1.3120000e-03   1.2247266e-03
   1.3226667e-03   1.2291347e-03
   1.3333333e-03   1.2331196e-03
   1.3440000e-03   1.2364713e-03
   1.3546667e-03   1.2393788e-03
   1.3653333e-03   1.2422009e-03
   1.3760000e-03   1.2445244e-03
   1.3866667e-03   1.2469507e-03
   1.3973333e-03   1.2496851e-03
   1.4080000e-03   1.2520360e-03
   1.4186667e-03   1.2549086e-03
   1.4293333e-03   1.2575872e-03
   1.4400000e-03   1.2600936e-03
   1.4506667e-03   1.2633530e-03
   1.4613333e-03   1.2662567e-03
   1.4720000e-03   1.2694253e-03
   1.4826667e-03   1.2725892e-03
   1.4933333e-03   1.2760127e-03
   1.5040000e-03   1.2791834e-03
   1.5146667e-03   1.2820110e-03
   1.5253333e-03   1.2845037e-03
   1.5360000e-03   1.2871168e-03
   1.5466667e-03   1.2894445e-03
   1.5573333e-03   1.2923732e-03
   1.5680000e-03   1.2948917e-03
   1.5786667e-03   1.2976374e-03
   1.5893333e-03   1.3006567e-03
   1.6000000e-03   1.3035143e-03
