# Rf minimum position in the X direction (across the trap)
# using calculatestuff.m
# Position Z (m)   Design m. position (m)   Twisted RF m. position (m)
  -5.2266667e-04  -3.8847212e-19  -1.4366417e-07
  -5.1200000e-04  -9.6013488e-20  -1.3480620e-07
  -5.0133333e-04  -1.9370342e-19  -1.2637510e-07
  -4.9066667e-04  -9.5795325e-20  -1.1407396e-07
  -4.8000000e-04  -2.4283052e-19  -1.1067685e-07
  -4.6933333e-04  -9.5556371e-20  -9.6249530e-08
  -4.5866667e-04  -1.4456462e-19  -8.9953501e-08
  -4.4800000e-04  -1.9375152e-19  -7.7497375e-08
  -4.3733333e-04  -2.9226501e-19  -7.1915723e-08
  -4.2666667e-04  -9.5044469e-20  -6.3992552e-08
  -4.1600000e-04   1.5205357e-19  -5.8657373e-08
  -4.0533333e-04  -1.9371090e-19  -5.0209789e-08
  -3.9466667e-04  -2.4306184e-19  -3.8637007e-08
  -3.8400000e-04  -2.4299488e-19  -3.1186873e-08
  -3.7333333e-04  -9.4293729e-20  -2.5017484e-08
  -3.6266667e-04  -1.4370130e-19  -1.5736676e-08
  -3.5200000e-04   1.0427251e-19  -2.3223886e-09
  -3.4133333e-04  -1.4327079e-19   4.1298834e-09
  -3.3066667e-04  -2.4213002e-19   1.2134607e-08
  -3.2000000e-04  -1.9234978e-19   2.2206203e-08
  -3.0933333e-04  -9.3074507e-20   2.9184419e-08
  -2.9866667e-04   1.0513213e-19   3.8726669e-08
  -2.8800000e-04  -1.9151393e-19   4.2847186e-08
  -2.7733333e-04   6.5083487e-21   5.5480726e-08
  -2.6666667e-04  -2.8982150e-19   6.5503322e-08
  -2.5600000e-04  -3.8830529e-19   7.0358045e-08
  -2.4533333e-04   7.0066839e-21   8.2400552e-08
  -2.3466667e-04  -1.4077222e-19   9.2107355e-08
  -2.2400000e-04  -2.8832551e-19   1.0049989e-07
  -2.1333333e-04  -9.0991570e-20   1.0476070e-07
  -2.0266667e-04  -9.0756767e-20   1.1133784e-07
  -1.9200000e-04  -1.3964009e-19   1.2352277e-07
  -1.8133333e-04   1.5499852e-19   1.2853664e-07
  -1.7066667e-04   5.6957517e-20   1.4090991e-07
  -1.6000000e-04  -1.3877928e-19   1.4587368e-07
  -1.4933333e-04  -1.3853822e-19   1.5514986e-07
  -1.3866667e-04  -4.3144297e-19   1.6289125e-07
  -1.2800000e-04   8.3547936e-21   1.6680799e-07
  -1.1733333e-04  -1.8660129e-19   1.7661439e-07
  -1.0666667e-04  -8.8910834e-20   1.8721326e-07
  -9.6000000e-05  -2.3480056e-19   1.9370545e-07
  -8.5333333e-05   8.6495058e-21   2.0680293e-07
  -7.4666667e-05  -1.3714108e-19   2.1000764e-07
  -6.4000000e-05  -1.8560928e-19   2.2032530e-07
  -5.3333333e-05  -3.7979480e-19   2.2960515e-07
  -4.2666667e-05   1.0595011e-19   2.3914856e-07
  -3.2000000e-05  -8.8229961e-20   2.4616605e-07
  -2.1333333e-05   8.8814350e-21   2.5499258e-07
  -1.0666667e-05   2.0304566e-19   2.6075966e-07
   0.0000000e+00  -2.8232912e-19   2.6937032e-07
   1.0666667e-05   2.0304566e-19   2.8137845e-07
   2.1333333e-05   8.8814350e-21   2.9075824e-07
   3.2000000e-05  -8.8229961e-20   2.9647717e-07
   4.2666667e-05   1.0595011e-19   3.0873281e-07
   5.3333333e-05  -3.7979480e-19   3.1430118e-07
   6.4000000e-05  -1.8560928e-19   3.2120423e-07
   7.4666667e-05  -1.3714108e-19   3.3468013e-07
   8.5333333e-05   8.6495058e-21   3.4297801e-07
   9.6000000e-05  -2.3480056e-19   3.5418197e-07
   1.0666667e-04  -8.8910834e-20   3.5920145e-07
   1.1733333e-04  -1.8660129e-19   3.6617101e-07
   1.2800000e-04   8.3547936e-21   3.7353762e-07
   1.3866667e-04  -4.3144297e-19   3.8703157e-07
   1.4933333e-04  -1.3853822e-19   3.9489130e-07
   1.6000000e-04  -1.3877928e-19   4.0020471e-07
   1.7066667e-04   5.6957517e-20   4.1266264e-07
   1.8133333e-04   1.5499852e-19   4.1864970e-07
   1.9200000e-04  -1.3964009e-19   4.2854742e-07
   2.0266667e-04  -9.0756767e-20   4.4170293e-07
   2.1333333e-04  -9.0991570e-20   4.5011881e-07
   2.2400000e-04  -2.8832551e-19   4.5959757e-07
   2.3466667e-04  -1.4077222e-19   4.6308925e-07
   2.4533333e-04   7.0066839e-21   4.7547867e-07
   2.5600000e-04  -3.8830529e-19   4.8758450e-07
   2.6666667e-04  -2.8982150e-19   4.9273372e-07
   2.7733333e-04   6.5083487e-21   5.0146073e-07
   2.8800000e-04  -1.9151393e-19   5.1103118e-07
   2.9866667e-04   1.0513213e-19   5.1726215e-07
   3.0933333e-04  -9.3074507e-20   5.2715613e-07
   3.2000000e-04  -1.9234978e-19   5.3650337e-07
   3.3066667e-04  -2.4213002e-19   5.4168448e-07
   3.4133333e-04  -1.4327079e-19   5.5540420e-07
   3.5200000e-04   1.0427251e-19   5.6280956e-07
   3.6266667e-04  -1.4370130e-19   5.6085794e-07
   3.7333333e-04  -9.4293729e-20   5.7626237e-07
   3.8400000e-04  -2.4299488e-19   5.8126432e-07
   3.9466667e-04  -2.4306184e-19   5.9392292e-07
   4.0533333e-04  -1.9371090e-19   5.9532805e-07
   4.1600000e-04   1.5205357e-19   6.0300736e-07
   4.2666667e-04  -9.5044469e-20   6.1439129e-07
   4.3733333e-04  -2.9226501e-19   6.2166639e-07
   4.4800000e-04  -1.9375152e-19   6.2974131e-07
   4.5866667e-04  -1.4456462e-19   6.3420844e-07
   4.6933333e-04  -9.5556371e-20   6.4140050e-07
   4.8000000e-04  -2.4283052e-19   6.4957790e-07
   4.9066667e-04  -9.5795325e-20   6.4965299e-07
   5.0133333e-04  -1.9370342e-19   6.6194313e-07
   5.1200000e-04  -9.6013488e-20   6.6634829e-07
   5.2266667e-04  -3.8847212e-19   6.7294882e-07
   5.3333333e-04   1.0329780e-21   6.8192690e-07
   5.4400000e-04   9.7851517e-20   6.8538947e-07
   5.5466667e-04  -2.9028683e-19   6.9171395e-07
   5.6533333e-04  -1.9332958e-19   6.9602893e-07
   5.7600000e-04  -1.9323879e-19   7.0345768e-07
   5.8666667e-04  -9.6824067e-20   7.1580258e-07
   5.9733333e-04  -3.3742541e-19   7.1844754e-07
   6.0800000e-04   9.4850698e-20   7.2217855e-07
   6.1866667e-04  -2.8894601e-19   7.2989369e-07
   6.2933333e-04  -1.4530868e-19   7.3713452e-07
   6.4000000e-04  -9.7679515e-20   7.4098495e-07
   6.5066667e-04  -5.0202508e-20   7.4613917e-07
   6.6133333e-04  -2.9194643e-21   7.5683393e-07
   6.7200000e-04  -9.8324962e-20   7.6305704e-07
   6.8266667e-04  -2.4089260e-19   7.6676444e-07
   6.9333333e-04  -3.3584909e-19   7.7363337e-07
   7.0400000e-04  -3.3582878e-19   7.7867243e-07
   7.1466667e-04  -5.2207631e-20   7.8762853e-07
   7.2533333e-04  -1.4702095e-19   7.9153036e-07
   7.3600000e-04   8.8523661e-20   8.0370886e-07
   7.4666667e-04  -5.3412988e-20   8.0727757e-07
   7.5733333e-04  -1.0092833e-19   8.1523358e-07
   7.6800000e-04  -5.4284724e-20   8.1759599e-07
