# Rf minimum position in the Y direction (perpendicular to the trap)
# using calculatestuff.m
# Position Z (m)   Design m. position (m)   Twisted RF m. position (m)
  -4.4800000e-04   1.2675285e-05   1.2493975e-05
  -4.3733333e-04   1.2677026e-05   1.2460959e-05
  -4.2666667e-04   1.2680974e-05   1.2423813e-05
  -4.1600000e-04   1.2683334e-05   1.2393066e-05
  -4.0533333e-04   1.2684640e-05   1.2349975e-05
  -3.9466667e-04   1.2682764e-05   1.2315480e-05
  -3.8400000e-04   1.2684919e-05   1.2280948e-05
  -3.7333333e-04   1.2683273e-05   1.2237615e-05
  -3.6266667e-04   1.2687096e-05   1.2205377e-05
  -3.5200000e-04   1.2685852e-05   1.2166744e-05
  -3.4133333e-04   1.2691502e-05   1.2131747e-05
  -3.3066667e-04   1.2693327e-05   1.2091834e-05
  -3.2000000e-04   1.2688341e-05   1.2057801e-05
  -3.0933333e-04   1.2687878e-05   1.2012625e-05
  -2.9866667e-04   1.2686022e-05   1.1971820e-05
  -2.8800000e-04   1.2688341e-05   1.1940299e-05
  -2.7733333e-04   1.2692988e-05   1.1897973e-05
  -2.6666667e-04   1.2689501e-05   1.1864946e-05
  -2.5600000e-04   1.2686613e-05   1.1829663e-05
  -2.4533333e-04   1.2687919e-05   1.1786085e-05
  -2.3466667e-04   1.2692407e-05   1.1743246e-05
  -2.2400000e-04   1.2685838e-05   1.1711627e-05
  -2.1333333e-04   1.2685838e-05   1.1672084e-05
  -2.0266667e-04   1.2687138e-05   1.1629746e-05
  -1.9200000e-04   1.2685875e-05   1.1593353e-05
  -1.8133333e-04   1.2685257e-05   1.1557008e-05
  -1.7066667e-04   1.2685491e-05   1.1515302e-05
  -1.6000000e-04   1.2687180e-05   1.1480809e-05
  -1.4933333e-04   1.2686152e-05   1.1434414e-05
  -1.3866667e-04   1.2690208e-05   1.1391721e-05
  -1.2800000e-04   1.2682200e-05   1.1352546e-05
  -1.1733333e-04   1.2682270e-05   1.1315909e-05
  -1.0666667e-04   1.2684095e-05   1.1282892e-05
  -9.6000000e-05   1.2682831e-05   1.1239836e-05
  -8.5333333e-05   1.2687636e-05   1.1201743e-05
  -7.4666667e-05   1.2687679e-05   1.1166556e-05
  -6.4000000e-05   1.2688454e-05   1.1130815e-05
  -5.3333333e-05   1.2682445e-05   1.1097684e-05
  -4.2666667e-05   1.2682445e-05   1.1052676e-05
  -3.2000000e-05   1.2688246e-05   1.1010260e-05
  -2.1333333e-05   1.2680108e-05   1.0976365e-05
  -1.0666667e-05   1.2687814e-05   1.0936306e-05
   0.0000000e+00   1.2686178e-05   1.0896481e-05
   1.0666667e-05   1.2687814e-05   1.0856012e-05
   2.1333333e-05   1.2680108e-05   1.0819338e-05
   3.2000000e-05   1.2688246e-05   1.0779717e-05
   4.2666667e-05   1.2682445e-05   1.0747136e-05
   5.3333333e-05   1.2682445e-05   1.0710888e-05
   6.4000000e-05   1.2688454e-05   1.0664340e-05
   7.4666667e-05   1.2687679e-05   1.0619457e-05
   8.5333333e-05   1.2687636e-05   1.0585833e-05
   9.6000000e-05   1.2682831e-05   1.0549660e-05
   1.0666667e-04   1.2684095e-05   1.0511002e-05
   1.1733333e-04   1.2682270e-05   1.0472416e-05
   1.2800000e-04   1.2682200e-05   1.0434199e-05
   1.3866667e-04   1.2690208e-05   1.0394843e-05
   1.4933333e-04   1.2686152e-05   1.0360503e-05
   1.6000000e-04   1.2687180e-05   1.0322872e-05
   1.7066667e-04   1.2685491e-05   1.0285587e-05
   1.8133333e-04   1.2685257e-05   1.0246429e-05
   1.9200000e-04   1.2685875e-05   1.0206104e-05
   2.0266667e-04   1.2687138e-05   1.0168697e-05
   2.1333333e-04   1.2685838e-05   1.0127706e-05
   2.2400000e-04   1.2685838e-05   1.0090070e-05
   2.3466667e-04   1.2692407e-05   1.0049863e-05
   2.4533333e-04   1.2687919e-05   1.0019809e-05
   2.5600000e-04   1.2686613e-05   9.9843891e-06
   2.6666667e-04   1.2689501e-05   9.9418653e-06
   2.7733333e-04   1.2692988e-05   9.9089784e-06
   2.8800000e-04   1.2688341e-05   9.8662896e-06
   2.9866667e-04   1.2686022e-05   9.8292917e-06
   3.0933333e-04   1.2687878e-05   9.7893532e-06
